name year month day tmin tmax
HSD_AT_114165 2014 2 3 -1.8 -2.2
HSD_AT_114165 2014 11 26 1.6 1.5
HSD_AT_114165 2017 2 6 0.3 -0.2
HSD_AT_114165 2017 2 9 -1.9 -2.4
HSD_AT_114165 2017 2 10 -1.5 -1.9
HSD_AT_114165 2017 2 13 -0.2 -1.1
HSD_AT_114165 2019 4 11 5.6 5.4
HSD_AT_114165 2020 12 9 0.8 0.3
HSD_AT_114165 2020 12 10 0.6 0.5
HSD_AT_114165 2022 12 4 1.9 1.4
HSD_AT_114215 1987 12 1 1.2 0.9
HSD_AT_114249 1953 12 17 -1.2 -1.5
HSD_AT_114249 1953 12 21 -2.3 -2.4
HSD_AT_114249 1954 12 13 0.4 0.2
HSD_AT_114249 1955 12 20 -3.3 -3.6
HSD_AT_114249 1955 12 31 -0.6 -1.4
HSD_AT_114249 1956 1 31 -8.6 -9.3
HSD_AT_114249 1971 12 2 -0.9 -1.2
HSD_AT_114249 1987 12 1 1.1 0.1
HSD_AT_114256 1951 12 28 -1.2 -1.3
HSD_AT_114256 1953 12 17 -1.2 -1.4
HSD_AT_114256 1953 12 21 -2.3 -2.4
HSD_AT_114256 1954 12 13 0.6 0.2
HSD_AT_114256 1955 12 20 -3.2 -3.3
HSD_AT_114256 1955 12 31 -0.4 -1.1
HSD_AT_114256 1956 1 31 -8.5 -9.3
HSD_AT_114256 1971 12 2 -1 -1.1
HSD_AT_114256 1977 12 12 -2.2 -2.3
HSD_AT_114256 1987 12 1 0.9 0.1
HSD_AT_114256 2025 12 25 -1.3 -1.6
HSD_AT_114272 1952 10 31 1.7 1.6
HSD_AT_114272 1953 1 6 -4.7 -5.3
HSD_AT_114272 1956 1 7 -6.3 -7.1
HSD_AT_114272 1956 1 31 -8.2 -11.9
HSD_AT_114272 1956 2 1 -13 -13.8
HSD_AT_114272 1957 3 31 1.1 1
HSD_AT_114272 1957 12 16 -0.4 -0.6
HSD_AT_114272 1959 2 3 -5.5 -6.5
HSD_AT_114272 1959 5 30 6.5 6.3
HSD_AT_114272 1960 8 3 10.1 9.8
HSD_AT_114272 1960 9 6 8.1 7.2
HSD_AT_114272 1960 9 29 5.5 5.2
HSD_AT_114272 1961 4 24 5.6 5
HSD_AT_114272 1963 1 4 0.3 0.1
HSD_AT_114272 1963 1 10 -1.1 -2.6
HSD_AT_114272 1963 8 29 9.1 8.7
HSD_AT_114272 1963 8 30 8.3 8
HSD_AT_114272 1963 9 8 8.8 8.4
HSD_AT_114272 1964 3 6 -7.1 -7.3
HSD_AT_114272 1964 6 16 11.4 10.9
HSD_AT_114272 1964 6 25 11.3 11.1
HSD_AT_114272 1964 10 31 2.3 2.2
HSD_AT_114272 1964 12 3 -2.7 -2.8
HSD_AT_114272 1964 12 20 -0.5 -0.9
HSD_AT_114272 1964 12 21 -1.2 -1.7
HSD_AT_114272 1966 9 17 7 6.3
HSD_AT_114272 1969 2 4 -5.5 -5.6
HSD_AT_114272 1970 4 2 -1.7 -1.8
HSD_AT_114272 1973 9 26 5.9 5.8
HSD_AT_114272 1975 2 4 -2.8 -3.2
HSD_AT_114272 1975 3 30 -1.7 -2.1
HSD_AT_114272 1975 10 12 1 0.1
HSD_AT_114272 1976 7 26 8.7 8.6
HSD_AT_114272 1978 11 27 -0.2 -1.1
HSD_AT_114272 1978 11 28 -3.4 -4.2
HSD_AT_114272 1979 9 23 9.9 9.8
HSD_AT_114272 1986 2 2 -0.3 -1
HSD_AT_114272 1987 2 16 0.8 0.5
HSD_AT_114272 1987 2 17 0.5 -0.8
HSD_AT_114272 1987 2 20 -0.5 -1.1
HSD_AT_114272 1990 3 27 0 -1
HSD_AT_114272 1991 1 14 -0.8 -1.2
HSD_AT_114272 1991 2 12 -6.2 -6.3
HSD_AT_114272 1991 10 27 -0.6 -0.7
HSD_AT_114272 1992 3 28 -0.8 -1
HSD_AT_114272 1992 10 4 8.3 7.8
HSD_AT_114272 1992 10 30 1.4 1
HSD_AT_114272 1993 3 2 -2.7 -3.2
HSD_AT_114272 1993 3 3 -3.1 -3.6
HSD_AT_114272 1993 10 21 5 4.8
HSD_AT_114272 1994 2 14 -8.2 -8.7
HSD_AT_114272 1994 6 12 7.6 7.1
HSD_AT_114272 1994 10 22 3.8 3.2
