name lon lat ele num
HSD_FR_METEOFRANCE_Le_grand_bornand_74136400 6.4525 45.9698333333333 1270 7
HSD_FR_METEOFRANCE_Le_gua_nivose 5.588667 45.015 1646 1763
HSD_FR_METEOFRANCE_Le_molard 7.00966666666667 45.4385 2310 4
HSD_FR_METEOFRANCE_Le_monetier 6.50066666666667 44.9431666666667 2185 93
HSD_FR_METEOFRANCE_Le_plenay 6.68916666666667 46.1676666666667 1515 212
HSD_FR_METEOFRANCE_Le_tour 6.948426 46.003874 1500 2
HSD_FR_METEOFRANCE_Le_tour_balme 6.96916666666667 46.0191666666667 2196 7
HSD_FR_METEOFRANCE_Le_tour_nivo 6.948014 46.002004 1478 2
HSD_FR_METEOFRANCE_Les_2_alpes_gn_ 6.12033333333333 45.0043333333333 1630 34
HSD_FR_METEOFRANCE_Les_2_alpes_pied_mouttet_ 6.104 45.0055 2084 382
HSD_FR_METEOFRANCE_Les_2_alpes_toura_ne_ 6.16983333333333 44.9913333333333 2550 392
HSD_FR_METEOFRANCE_Les_aillons_margeriaz_ 6.058 45.6403333333333 1400 138
HSD_FR_METEOFRANCE_Les_arcs 6.82266666666667 45.5706666666667 2040 7
HSD_FR_METEOFRANCE_Les_carroz_kedeusaz 6.65933333333333 46.0233333333333 1760 151
HSD_FR_METEOFRANCE_Les_carroz_village 6.643917 46.024514 1152 20
HSD_FR_METEOFRANCE_Les_contamines_montjoie 6.69316666666667 45.7885 1780 40
HSD_FR_METEOFRANCE_Les_deserts 6.003 45.6216666666667 1030 28
HSD_FR_METEOFRANCE_Les_ecrins_nivose 6.345944 44.936738 2940 631
HSD_FR_METEOFRANCE_Les_gets 6.6555 46.1595 1530 126
HSD_FR_METEOFRANCE_Les_karellis 6.40233333333333 45.2233333333333 1603 24
HSD_FR_METEOFRANCE_Les_menuires 6.53833333333333 45.3206666666667 1800 2
HSD_FR_METEOFRANCE_Les_orres_fontaines 6.55766666666667 44.4756666666667 1895 12
HSD_FR_METEOFRANCE_Les_rochilles_nivose 6.46816666666667 45.0843333333333 2443 190
HSD_FR_METEOFRANCE_Les_saisies 6.524 45.755 1636 90
HSD_FR_METEOFRANCE_Lognan 6.939 45.9676666666667 1970 3
HSD_FR_METEOFRANCE_Luceram_obs 7.36666666666667 43.9333333333333 1420 1
HSD_FR_METEOFRANCE_Millefonts_nivose 7.192 44.118333 2430 225
HSD_FR_METEOFRANCE_Modane 6.67116666666667 45.1895 1228 22
HSD_FR_METEOFRANCE_Mont_arbois 6.668 45.8531666666667 1833 163
HSD_FR_METEOFRANCE_Mont_cenis 6.89283333333333 45.2683333333333 2032 13
HSD_FR_METEOFRANCE_Montgenevre 6.721367 44.930422 1848 2
HSD_FR_METEOFRANCE_Montgenevre_le_chalvet 6.71833333333333 44.9361666666667 2134 35
HSD_FR_METEOFRANCE_Montmin 6.259 45.8023333333333 1050 29
HSD_FR_METEOFRANCE_Montsapey 6.3355 45.5201666666667 960 2
HSD_FR_METEOFRANCE_Nevache_buffere 6.56916666666667 45.0076666666667 2060 47
HSD_FR_METEOFRANCE_Olmet 6.06966666666667 45.1235 1350 11
HSD_FR_METEOFRANCE_Orcieres_nivose 6.3335 44.718 2294 364
HSD_FR_METEOFRANCE_Orelle 6.56933333333333 45.242 2356 93
HSD_FR_METEOFRANCE_Parpaillon_nivose 6.636195 44.495291 2550 386
HSD_FR_METEOFRANCE_Passy 6.72566666666667 45.951 1300 2
HSD_FR_METEOFRANCE_Peira_cava 7.363215 43.929337 1443 28
HSD_FR_METEOFRANCE_Peisey_nancroix 6.75383333333333 45.5396666666667 1350 37
HSD_FR_METEOFRANCE_Peone 6.930998 44.09974 1784 39
HSD_FR_METEOFRANCE_Peone_valberg 6.93333333333333 44.1 1659 30
HSD_FR_METEOFRANCE_Plan_aiguille_tmb 6.88483333333333 45.9006666666667 2310 6
HSD_FR_METEOFRANCE_Pra_loup 6.58416666666667 44.356 2100 183
HSD_FR_METEOFRANCE_Prapoutel_38002404 5.97466666666667 45.25 1840 73
HSD_FR_METEOFRANCE_Prapoutel_38002405 5.97466666666667 45.25 1570 41
HSD_FR_METEOFRANCE_Prapoutel_38002406 5.99066666666667 45.2536666666667 1355 32
HSD_FR_METEOFRANCE_Prapoutel_pipay 5.97466666666667 45.25 1345 30
HSD_FR_METEOFRANCE_Puy_st_vincent 6.49 44.8238333333333 1380 1
HSD_FR_METEOFRANCE_Puy_st_vincent_1600 6.48483333333333 44.8175 1680 7
HSD_FR_METEOFRANCE_Reallon_nivo 6.35166666666667 44.575 1717 77
HSD_FR_METEOFRANCE_Restefond_nivose 6.798402 44.342059 2550 137
HSD_FR_METEOFRANCE_Risoul 6.63983333333333 44.6166666666667 2050 44
HSD_FR_METEOFRANCE_Samoens 6.72666 46.086686 785 2
HSD_FR_METEOFRANCE_Serre_chevalier 6.5695 44.9213333333333 1905 34
HSD_FR_METEOFRANCE_Seythenex 6.2725 45.7078333333333 1159 209
HSD_FR_METEOFRANCE_St_alban_des_vi 6.24033333333333 45.303 1100 3
