names	lon	lat	start	end
HSD_IT_BZ_S_Cassiano_Osservatore	11.936462	46.56871	1980	2019
HSD_IT_BZ_S_Genesio_Atesino_Osservatore	11.329485	46.53911	1984	2019
HSD_IT_BZ_S_Maddalena_in_Casies_Osservatore	12.239817	46.83497	1980	2019
HSD_IT_BZ_S_Martino_in_Passiria_Osservatore	11.227909	46.78268	1980	2019
HSD_IT_BZ_S_Pancrazio_Osservatore	11.055685	46.56489	1980	2019
HSD_IT_BZ_S_Valentino_alla_Muta_Osservatore	10.527218	46.77469	1980	2019
HSD_IT_BZ_S_Valpurga_d_Ultimo_Osservatore	11.002854	46.54793	2004	2012
HSD_IT_BZ_Silandro_Convento_Osservatore	10.774793	46.62765	1987	2016
HSD_IT_BZ_Slingia_Osservatore	10.47392	46.70413	1980	2019
HSD_IT_BZ_Terento_Osservatore	11.793769	46.83212	1994	2019
HSD_IT_BZ_Terme_di_Brennero_Osservatore	11.488931	46.98113	1980	2013
HSD_IT_BZ_Valles_osservatore	11.630696	46.83866	1982	2019
HSD_IT_BZ_Valluzza_Osservatore	11.66281	46.62357	1980	2019
HSD_IT_BZ_Vanga_Osservatore	11.397473	46.55179	1983	2019
HSD_IT_BZ_Vipiteno_osservatore	11.42939	46.89782	1980	2012
HSD_LOM_BG_CARONA_CARISOLE_08024	9.7938	46.03852	1993	2024
HSD_LOM_BG_CARONA_LAGO_FREGABOLGIA_00117	9.863059	46.02445	2018	2024
HSD_LOM_BG_OLTRE_IL_COLLE_ZAMBLA_09037	9.78894	45.89119	2012	2024
HSD_LOM_BS_BRENO_LAGO_DELLA_VACCA_14364	10.442729	45.9575	2012	2024
HSD_LOM_BS_EDOLO_PANTANO_D_AVIO_08020	10.472828	46.17701	1993	2024
HSD_LOM_BS_PONTE_DI_LEGNO_CASE_PIRLI_09042	10.531051	46.28969	2004	2024
HSD_LOM_LC_BARZIO_PIANI_DI_BOBBIO_14279	9.501139	45.9595	2012	2024
HSD_LOM_SO_APRICA_08017	10.148266	46.12969	1992	2024
HSD_LOM_SO_CAMPODOLCINO_ALPE_MOTTA_14252	9.368836	46.42312	2012	2024
HSD_LOM_SO_GEROLA_ALTA_PESCEGALLO_08014	9.571121	46.0262	1992	2024
HSD_LOM_SO_LANZADA_PALU_08093	9.884528	46.29291	1992	2024
HSD_LOM_SO_LANZADA_PASSO_MARINELLI_14205	9.915154	46.34981	2012	2024
HSD_LOM_SO_LIVIGNO_LA_VALLACCIA_08028	10.188737	46.47731	1993	2024
HSD_LOM_SO_PONTE_IN_VALTELLINA_LAGO_REGUZZO_14178	9.969999	46.09651	2012	2024
HSD_LOM_SO_VALDISOTTO_OGA_S_COLOMBANO_08009	10.305964	46.45357	1992	2024
HSD_LOM_SO_VAL_MASINO_MERDAROLA_17592	9.581636	46.22932	2008	2024
HSD_LOM_VA_VEDDASCA_MONTE_CADRIGNA_32384	8.768815	46.07183	2017	2024
