station year duration start flag
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2009 147 74 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2010 125 91 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2011 122 82 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2012 90 104 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2013 127 90 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2014 141 75 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2015 41 152 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2016 59 156 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2017 53 135 OK
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 2018 150 67 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2001 235 61 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2002 66 215 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2003 183 76 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2004 234 50 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2005 126 91 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2006 185 86 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2007 138 98 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2008 196 78 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2009 221 59 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2010 183 89 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2011 212 47 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2012 52 86 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2013 233 59 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2014 217 67 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2015 205 69 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2016 106 161 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2017 65 156 OK
HSD_IT_BZ_Lago_Verde_Osservatore 2018 194 69 OK
HSD_IT_BZ_Lazfons_Osservatore 2001 15 139 OK
HSD_IT_BZ_Lazfons_Osservatore 2002 6 182 OK
HSD_IT_BZ_Lazfons_Osservatore 2003 8 129 OK
HSD_IT_BZ_Lazfons_Osservatore 2004 46 120 OK
HSD_IT_BZ_Lazfons_Osservatore 2005 10 118 OK
HSD_IT_BZ_Lazfons_Osservatore 2006 68 88 OK
HSD_IT_BZ_Lazfons_Osservatore 2007 21 147 OK
HSD_IT_BZ_Lazfons_Osservatore 2008 14 146 OK
HSD_IT_BZ_Lazfons_Osservatore 2009 98 92 OK
HSD_IT_BZ_Lazfons_Osservatore 2010 73 115 OK
HSD_IT_BZ_Lazfons_Osservatore 2011 41 87 OK
HSD_IT_BZ_Lazfons_Osservatore 2012 38 124 OK
HSD_IT_BZ_Lazfons_Osservatore 2013 44 137 OK
HSD_IT_BZ_Lazfons_Osservatore 2014 75 113 OK
HSD_IT_BZ_Lazfons_Osservatore 2015 2 152 OK
HSD_IT_BZ_Lazfons_Osservatore 2016 35 161 OK
HSD_IT_BZ_Lazfons_Osservatore 2017 8 156 OK
HSD_IT_BZ_Lazfons_Osservatore 2018 32 118 OK
HSD_IT_BZ_Lazfons_Osservatore 2019 21 152 OK
HSD_IT_BZ_Longiaru_Osservatore 2001 91 81 OK
HSD_IT_BZ_Longiaru_Osservatore 2002 12 174 OK
HSD_IT_BZ_Longiaru_Osservatore 2003 59 116 OK
HSD_IT_BZ_Longiaru_Osservatore 2004 82 88 OK
HSD_IT_BZ_Longiaru_Osservatore 2005 80 118 OK
HSD_IT_BZ_Longiaru_Osservatore 2006 122 87 OK
