name year mark los_MOD los_STA
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2018 OK 47 64
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2019 OK 7 22
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2020 OK 18 34
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2022 OK 18 50
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2004 OK 45 63
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2005 OK 25 36
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2006 OK 61 89
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2008 OK 27 61
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2011 OK 33 69
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2012 OK 36 48
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2013 OK 47 88
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2014 OK 22 35
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2015 OK 38 54
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2017 OK 15 54
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2018 OK 34 60
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2019 OK 18 28
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2022 OK 8 11
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 2023 OK 13 22
HSD_IT_PIE_AT_ASTI 2010 OK 24 32
HSD_IT_PIE_AT_ASTI 2011 OK 3 16
HSD_IT_PIE_AT_ASTI 2013 OK 4 25
HSD_IT_PIE_AT_ASTI 2015 OK 0 12
HSD_IT_PIE_AT_ASTI 2018 OK 0 20
HSD_IT_PIE_AT_ASTI 2019 OK 8 16
HSD_IT_PIE_AT_ASTI 2022 OK 7 13
HSD_IT_PIE_BI_BIELMONTE 2003 OK 32 93
HSD_IT_PIE_BI_BIELMONTE 2005 OK 48 116
HSD_IT_PIE_BI_BIELMONTE 2006 OK 108 142
HSD_IT_PIE_BI_BIELMONTE 2007 OK 21 67
HSD_IT_PIE_BI_BIELMONTE 2008 OK 71 151
HSD_IT_PIE_BI_BIELMONTE 2009 OK 133 174
HSD_IT_PIE_BI_BIELMONTE 2011 OK 95 141
HSD_IT_PIE_BI_BIELMONTE 2012 OK 40 76
HSD_IT_PIE_BI_BIELMONTE 2013 OK 74 149
HSD_IT_PIE_BI_BIELMONTE 2017 OK 26 89
HSD_IT_PIE_BI_BIELMONTE 2019 OK 14 79
HSD_IT_PIE_BI_BIELMONTE 2020 OK 43 102
HSD_IT_PIE_BI_CAMPARIENT 2002 OK 59 100
HSD_IT_PIE_BI_CAMPARIENT 2003 OK 53 100
HSD_IT_PIE_BI_CAMPARIENT 2004 OK 137 199
HSD_IT_PIE_BI_CAMPARIENT 2005 OK 54 121
HSD_IT_PIE_BI_CAMPARIENT 2006 OK 75 137
HSD_IT_PIE_BI_CAMPARIENT 2007 OK 31 93
HSD_IT_PIE_BI_CAMPARIENT 2008 OK 70 135
HSD_IT_PIE_BI_CAMPARIENT 2012 OK 28 74
HSD_IT_PIE_BI_CAMPARIENT 2013 OK 71 155
HSD_IT_PIE_BI_CAMPARIENT 2015 OK 84 115
HSD_IT_PIE_BI_CAMPARIENT 2016 OK 59 93
HSD_IT_PIE_BI_CAMPARIENT 2017 OK 53 109
HSD_IT_PIE_BI_CAMPARIENT 2018 OK 104 149
HSD_IT_PIE_BI_CAMPARIENT 2019 OK 27 135
HSD_IT_PIE_BI_CAMPARIENT 2020 OK 77 155
HSD_IT_PIE_BI_CAMPARIENT 2021 OK 86 124
