station year los
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2016 110
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2017 163
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2018 200
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2019 183
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2020 177
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2021 168
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2022 182
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2023 176
HSD_IT_PIE_SV_SETTEPANI 2004 227
HSD_IT_PIE_SV_SETTEPANI 2005 148
HSD_IT_PIE_SV_SETTEPANI 2006 216
HSD_IT_PIE_SV_SETTEPANI 2007 94
HSD_IT_PIE_SV_SETTEPANI 2008 145
HSD_IT_PIE_SV_SETTEPANI 2009 172
HSD_IT_PIE_SV_SETTEPANI 2010 283
HSD_IT_PIE_SV_SETTEPANI 2011 192
HSD_IT_PIE_SV_SETTEPANI 2012 46
HSD_IT_PIE_SV_SETTEPANI 2013 163
HSD_IT_PIE_SV_SETTEPANI 2014 145
HSD_IT_PIE_SV_SETTEPANI 2015 93
HSD_IT_PIE_SV_SETTEPANI 2016 62
HSD_IT_PIE_SV_SETTEPANI 2017 88
HSD_IT_PIE_SV_SETTEPANI 2018 126
HSD_IT_PIE_SV_SETTEPANI 2019 119
HSD_IT_PIE_SV_SETTEPANI 2020 77
HSD_IT_PIE_SV_SETTEPANI 2021 129
HSD_IT_PIE_SV_SETTEPANI 2022 76
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2004 192
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2005 126
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2006 142
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2007 122
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2008 149
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2009 150
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2010 163
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2011 137
